epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,98.1339,0.42263,0.65479,1.00049,0.78263,0.71265,0.7601,0.6523,0.4535,1.59281,1.03877,0.000990365,0.000990365,0.000990365
43,100.321,0.38962,0.62414,0.99833,0.79629,0.70217,0.76263,0.66193,0.48697,1.61693,1.09065,0.000973861,0.000973861,0.000973861
44,102.572,0.41931,0.62072,1.02311,0.70101,0.85,0.85871,0.76225,0.46993,1.44744,1.03725,0.000957358,0.000957358,0.000957358
45,104.918,0.41324,0.62389,0.97364,0.78292,0.85,0.86796,0.77019,0.42186,1.29117,0.97964,0.000940855,0.000940855,0.000940855
46,107.129,0.38514,0.61099,0.98882,0.85981,0.84833,0.88231,0.79099,0.37593,1.17071,0.93441,0.000924352,0.000924352,0.000924352
47,109.3,0.36347,0.55504,0.97965,0.84902,0.84058,0.87321,0.77769,0.36891,1.0901,0.92057,0.000907848,0.000907848,0.000907848
48,111.471,0.40025,0.61118,0.96575,0.87491,0.84579,0.86234,0.79273,0.34768,0.99592,0.9019,0.000891345,0.000891345,0.000891345
49,113.663,0.38794,0.5478,0.99167,0.87075,0.85,0.86144,0.78322,0.32843,0.94972,0.8809,0.000874842,0.000874842,0.000874842
50,115.94,0.3996,0.59219,1.00729,0.87169,0.89533,0.86623,0.82455,0.30551,0.89425,0.8758,0.000858338,0.000858338,0.000858338
51,118.149,0.35255,0.53412,0.95574,0.90246,0.9,0.88969,0.82954,0.33827,0.86171,0.90837,0.000841835,0.000841835,0.000841835
52,120.391,0.37888,0.60288,0.99475,0.90358,0.9,0.86095,0.77232,0.43091,0.96038,0.98238,0.000825332,0.000825332,0.000825332
53,122.569,0.36753,0.55509,0.96786,0.89901,0.9,0.84762,0.7687,0.43577,1.01143,0.97714,0.000808828,0.000808828,0.000808828
54,124.744,0.37492,0.5644,0.98445,0.86574,0.89426,0.85655,0.79962,0.38773,1.04597,0.94449,0.000792325,0.000792325,0.000792325
55,126.942,0.37885,0.59079,0.99315,0.89811,0.85,0.83358,0.78977,0.33127,1.00515,0.8977,0.000775822,0.000775822,0.000775822
56,129.484,0.35101,0.53526,0.97073,0.8905,0.89401,0.84767,0.8224,0.31005,0.92799,0.87565,0.000759318,0.000759318,0.000759318
57,131.688,0.34632,0.54318,0.97344,0.90513,0.9,0.87248,0.85597,0.28738,0.85826,0.85939,0.000742815,0.000742815,0.000742815
58,133.872,0.33359,0.53841,0.95766,0.91066,0.9,0.945,0.91527,0.31891,0.82934,0.86137,0.000726312,0.000726312,0.000726312
